line,flight,departure,arrival,departure_date,price
Россия,РО5091,Иркутск,Москва,2026-06-05,15544
ЮТэйр,ЮТ4166,Санкт-Петербург,Воркута,2026-01-09,19061
Red Wings,RE8185,Волгоград,Иркутск,2026-08-18,3945
Россия,РО5925,Москва,Санкт-Петербург,2026-01-14,6005
Победа,ПО3052,Волгоград,Иркутск,2026-10-24,8009
Аэрофлот,АЭ1347,Волгоград,Санкт-Петербург,2026-12-02,3473
S7 Airlines,S72202,Волгоград,Санкт-Петербург,2026-10-18,9469
S7 Airlines,S72524,Санкт-Петербург,Воркута,2026-10-17,6397
S7 Airlines,S72522,Воркута,Санкт-Петербург,2026-03-09,17404
ЮТэйр,ЮТ4529,Воркута,Москва,2026-09-24,11643
Red Wings,RE8666,Санкт-Петербург,Волгоград,2026-04-28,12776
Red Wings,RE8386,Иркутск,Волгоград,2026-06-11,6626
ЮТэйр,ЮТ4146,Санкт-Петербург,Москва,2026-11-23,10226
Россия,РО5662,Волгоград,Москва,2026-11-28,18419
Россия,РО5774,Санкт-Петербург,Воркута,2026-06-18,4284
Победа,ПО3165,Иркутск,Воркута,2026-09-06,14512
ЮТэйр,ЮТ4417,Воркута,Волгоград,2026-01-01,11441
Нордвинд,НО6123,Санкт-Петербург,Москва,2026-12-21,9126
ЮТэйр,ЮТ4222,Санкт-Петербург,Воркута,2026-10-03,18612
Аэрофлот,АЭ1852,Москва,Волгоград,2026-02-05,12440
Red Wings,RE8155,Москва,Волгоград,2026-05-10,12528
Нордвинд,НО6650,Волгоград,Санкт-Петербург,2026-04-16,3741
Red Wings,RE8824,Иркутск,Санкт-Петербург,2026-01-17,17755
S7 Airlines,S72092,Иркутск,Воркута,2026-06-12,3963
Победа,ПО3423,Москва,Санкт-Петербург,2026-05-24,6798
Уральские авиалинии,УР7051,Москва,Волгоград,2026-07-04,7512
ЮТэйр,ЮТ4317,Волгоград,Воркута,2026-03-18,5260
Нордвинд,НО6090,Волгоград,Иркутск,2026-07-16,12518
